MetaboliteID,UABT00017,UABT00018,UABT00019,UABT00020,UABT00021,UABT00022,UABT00023,UABT00024,UABT00025,UABT00026,UABT00027,UABT00028,UABT00029,UABT00030,UABT00031,UABT00032
M047,707600,764311,658304,749378,NA,75087,NA,NA,180427,199548,149019,NA,NA,NA,NA,NA
M049,41234296,41053668,41815480,43333068,1330497,1408149,1817399,1768062,38807712,29441180,29403444,27470624,16156689,13878185,15604517,13684170
M050,389721984,371633344,417638560,399528416,67902008,67578488,68782432,69318176,314301664,277771072,320755872,312745728,167017376,154629040,158411152,145110800
M051,297873,369226,218043,247929,NA,NA,NA,NA,NA,NA,200104,NA,NA,NA,NA,NA
M053,5695139,5781385,5776646,6283827,396456,391559,424691,364249,2151463,1961347,1947066,1896356,262999,278990,180999,188647
M054,187239,111113,134688,71114,NA,NA,20024,NA,25338,104211,96697,36137,NA,39540,19037,22751
M055,NA,NA,NA,NA,87907,32614,44507,55079,NA,NA,NA,NA,NA,NA,NA,NA
M056,NA,NA,35929,NA,24294,20471,24345,23945,NA,NA,NA,NA,NA,NA,NA,NA
M057,37181972,42391392,37816856,53771384,470103,452594,555990,568296,31188410,34238716,22471816,21696616,9881311,7598822,10133976,6011539
M058,124770,86815,96834,85811,149617,113015,102134,86875,71325,70569,70936,79249,36737,35849,41899,NA
M059,1130405,1110683,1297298,1253893,NA,NA,NA,NA,2246681,1995626,1821019,1842538,2942810,2406687,2877817,2383882
M060,406318496,398452704,444185056,430563104,11933464,12464115,14575965,14054371,388105440,333451456,405547424,374757856,676605760,615628608,669625856,601504384
M061,1536339,1636480,1650129,1946313,246699,230346,407028,301969,1502054,793611,497180,373418,525533,NA,287821,324675
M062,NA,NA,NA,NA,NA,113130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M063,29504320,30636134,28183568,31213492,74324128,90466288,83973432,82886648,22895408,22195520,20293204,19812064,3419709,3629923,3292710,3549037
M065,5123121664,5212734976,5125715968,5476316672,370066688,390980672,408532576,389856672,4791091200,4267398656,4375216128,4290958080,1130532608,1108215936,1105760768,1052181568
M066,24201976,23915564,24422678,23395302,397298,273501,542066,411945,19157644,17715612,20194548,18141826,5796517,4657619,5401214,3896334
M067,30653056,33323724,37006820,37178612,23726620,26229668,25820094,25673098,97938176,80634904,87044448,80736936,5078501,5498277,4169625,5652896
M068,86605112,79554416,85382432,86893360,15682544,13679664,17429116,17795810,94267384,79577848,84789840,81226040,110575096,96871784,106957632,95712760
M069,47400180,46181204,50842536,51041724,3868178,4129990,3935921,5029674,54983736,48540396,44764456,40898808,179812496,129510968,148348928,125930120
M070,NA,NA,NA,NA,2590291,2244071,2315215,2431082,NA,NA,NA,NA,5398130,4535446,5086230,5391951
M072,980738,771899,820481,661528,NA,NA,NA,NA,291422,156508,177491,51435,NA,146168,162126,65775
M073,22096116,22475184,20489636,22192280,1218001,1297703,1584393,1527852,8083266,7242823,6671168,6278449,9864797,8302950,9242341,8509884
M074,67487920,70737640,64368692,70168128,19392832,22926848,23804060,24119546,60025020,58372980,54266268,53599068,7099157,6738515,6721495,6737739
M075,72546,117207,86107,92708,53831,NA,NA,57023,79459,NA,NA,NA,NA,NA,NA,NA
M076,923471,846539,780708,880758,85606,NA,174561,141215,1029995,906149,814364,788039,541397,356103,470044,348511
M077,2801122,2970725,2919141,2990683,1567515,1938820,1564638,1603803,2191224,1907159,1740310,1741620,120138,NA,85670,71247
M079,13945586,13194917,14309420,15871833,1397753,1533949,1742195,1613359,11962180,10037604,10912662,10885315,2014358,1867863,2017540,1876844
M080,583160128,591605184,581201600,597077120,44384628,47103024,48775620,48732240,810321280,705998784,735910016,713945792,177495184,176421888,174477392,168054128
M081,946083,872794,945508,1161379,326568,200214,332064,303481,764760,827563,761039,1048053,767442,737580,786000,783774
M082,1722934,1935893,1740635,1912723,1182194,1084535,1232587,1304762,2283924,1746558,2028360,1976968,624299,663701,780436,843711
M083,51728592,60889236,55790980,60850116,4866820,4395856,5203617,4251467,58375404,57217280,53324688,53036912,4494494,4305287,3917535,4213964
