Accession,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12
EIC29817.1,534,691,656,816,696,589,400,490,530,712,659,166
EIC29818.1,425,627,623,649,521,496,529,621,775,580,648,204
EIC29819.1,365,568,505,534,431,451,234,316,328,598,512,104
EIC29820.1,3779,4808,5250,6296,4729,3658,3124,4293,4248,6143,5993,1445
EIC29821.1,345,390,421,404,281,259,315,389,591,410,483,147
EIC29822.1,952,1006,1182,1347,1107,780,861,1203,1425,1443,1584,420
EIC29823.1,642,603,858,1015,882,266,537,707,933,1044,1173,229
EIC29824.1,3934,3421,5838,6179,5041,1693,2008,2897,3771,7138,7676,1067
EIC29825.1,2835,3163,4023,3540,3071,2335,1500,1977,2740,4226,4897,870
EIC29826.1,1335,1410,1691,1512,1482,820,929,1274,1435,2361,2202,304
EIC29827.1,5948,5966,8184,9890,7828,4582,2377,2964,5480,10036,11207,1958
EIC29828.1,844,986,1134,1034,802,449,619,840,1121,1276,1115,346
EIC29829.1,1561,1979,2635,2155,1629,1365,1661,2129,2881,2855,3237,983
EIC29830.1,25,26,41,60,56,14,23,27,58,59,82,25
EIC29831.1,8,10,21,17,28,7,13,12,15,19,23,3
EIC29832.1,95,301,103,171,133,482,96,115,138,164,250,115
EIC29833.1,1187,1709,1779,2120,1806,1264,1180,1648,1728,1785,2042,483
EIC29834.1,383,489,515,692,587,418,550,618,811,513,678,252
EIC29835.1,288,435,394,436,367,360,184,292,329,373,390,98
EIC29836.1,53,63,40,55,67,61,36,31,37,70,66,13
EIC29837.1,101,126,111,139,102,119,71,92,87,161,162,27
EIC29838.1,830,1165,977,1159,861,975,825,846,977,1110,1180,289
EIC29839.1,41,54,45,54,40,62,14,33,26,33,27,8
EIC29840.1,13,20,21,16,15,12,15,10,19,9,13,2
EIC29841.1,14,21,10,27,26,18,5,10,16,15,14,7
EIC29842.1,23,20,24,22,24,13,10,16,19,16,12,4
EIC29843.1,16,37,16,25,27,22,17,21,18,31,18,5
EIC29844.1,0,2,0,1,0,1,0,0,2,0,1,0
EIC29845.1,27,23,37,43,38,15,19,18,22,28,18,6
EIC29846.1,316,482,364,428,315,432,224,314,462,316,361,107
EIC29847.1,206,305,245,245,218,276,119,157,200,250,243,41
EIC29848.1,1114,1805,1262,1771,1349,1928,506,637,1022,1405,1367,303
EIC29849.1,247,382,292,451,313,383,132,207,328,375,406,98
EIC29850.1,416,630,541,669,497,582,321,411,606,584,594,155
EIC29851.1,1079,1743,1360,1636,1354,1742,695,791,1210,1587,1647,358
EIC29852.1,0,0,0,1,0,0,0,0,0,0,0,0
EIC29853.1,316,466,394,540,468,500,113,160,230,410,415,86
EIC29854.1,196,279,223,282,232,218,84,110,151,235,185,40
EIC29855.1,68,87,72,104,96,93,28,37,42,86,78,16
EIC29856.1,96,105,77,87,69,113,43,31,43,81,74,11
EIC29857.1,47,73,53,61,43,103,19,25,36,55,57,14
EIC29858.1,119,188,142,213,154,160,52,44,81,166,119,29
EIC29859.1,16,33,27,44,32,34,5,12,16,34,38,7
EIC29860.1,43,53,51,68,53,58,24,29,37,69,48,11
EIC29861.1,608,781,683,667,620,703,504,498,597,819,754,128
EIC29862.1,910,1252,1168,1445,1204,1281,340,395,803,1339,1337,255
EIC29863.1,1119,1478,1465,1788,1465,980,665,879,1094,1793,1750,355
EIC29864.1,285,380,387,316,266,218,219,318,385,430,371,108
EIC29865.1,58,64,70,133,80,53,39,53,78,106,107,19
EIC29866.1,139,138,202,185,160,98,188,224,287,169,220,59
EIC29867.1,22,36,28,41,33,14,30,41,49,35,36,21
EIC29868.1,264,291,356,387,255,156,145,228,261,394,389,51
EIC29869.1,403,516,500,516,469,341,386,495,608,629,624,160
EIC29870.1,289,460,368,320,267,388,319,436,509,413,373,82
EIC29871.1,1502,1558,1615,1921,1727,1189,1652,1881,2364,2737,3180,1026
EIC29872.1,1812,2061,2464,4732,3988,1400,791,1041,1729,3960,4682,523
EIC29873.1,407,478,606,1231,963,337,225,286,425,869,1051,161
EIC29874.1,1230,1639,1733,1921,1556,1168,987,1274,1443,2037,2195,474
EIC29875.1,654,930,770,907,726,818,374,519,798,782,846,207
EIC29876.1,267,588,289,457,347,557,85,78,222,274,318,82
EIC29877.1,123,519,125,249,167,378,30,39,78,91,121,21
EIC29878.1,628,1067,843,1018,741,1071,243,284,456,772,771,170
EIC29879.1,290,459,166,479,272,537,94,119,197,171,223,99
EIC29880.1,668,1253,439,1072,703,1200,136,139,348,422,534,192
EIC29881.1,1952,3409,1219,3011,2008,2715,278,398,926,1174,1445,423
EIC29882.1,685,1233,471,1112,739,1000,121,154,378,418,500,138
EIC29883.1,544,736,638,855,663,722,262,307,513,714,904,162
EIC29884.1,1276,1676,1705,2283,1690,1772,473,535,1044,1783,2047,372
EIC29885.1,737,957,967,1691,1370,1136,293,330,619,1088,1212,195
EIC29886.1,1454,2413,1801,1710,1245,1595,494,489,699,1765,1282,255
EIC29887.1,1717,2567,2254,2140,1547,2166,508,654,824,2045,1170,337
EIC29888.1,463,1002,640,502,390,890,150,192,186,654,284,54
EIC29889.1,258,604,389,383,246,553,67,78,73,347,185,27
EIC29890.1,427,862,548,451,357,752,135,162,120,512,279,39
EIC29891.1,470,833,611,658,483,765,169,256,306,593,388,88
EIC29892.1,221,337,286,245,235,280,84,113,135,329,262,33
EIC29893.1,6077,6553,9148,9768,8096,5668,6513,7136,10408,10449,11455,3200
EIC29894.1,12076,12174,18333,15931,13358,8256,12047,13775,16756,20865,22254,5180
EIC29895.1,2269,2245,3185,3342,3048,1690,1042,1293,2094,4187,4495,779
EIC29896.1,9845,10613,13174,16501,13547,7578,4371,6206,10636,15859,18033,3981
EIC29897.1,363,347,426,861,700,145,192,261,245,531,580,94
EIC29898.1,758,912,1048,1108,858,805,549,661,947,1124,1287,301
EIC29899.1,2049,2209,2750,2549,2246,1509,1027,1306,1451,2879,2931,414
EIC29900.1,12941,13204,17840,19054,14882,9425,4794,6535,9017,19834,20363,3182
EIC29901.1,5311,6372,7509,6720,5830,5013,2618,3116,3916,7818,8441,1277
EIC29902.1,3428,4111,4113,5218,3939,2527,1588,2500,3125,4541,4783,798
EIC29903.1,9621,11052,12816,13311,10751,7533,4254,5529,8563,14431,16168,2523
EIC29904.1,181,217,205,267,251,166,81,107,182,313,319,45
EIC29905.1,3349,3981,4726,5207,3871,3716,2233,2460,3651,5026,5521,1291
EIC29906.1,707,802,980,935,835,466,552,587,653,1205,1244,184
EIC29907.1,4353,4162,6355,7297,5575,2613,1679,1960,3588,7456,8660,1343
EIC29908.1,1992,1868,3074,3480,2603,1193,662,831,1451,3304,3717,518
EIC29909.1,244,218,345,613,539,133,108,178,235,461,469,78
EIC29910.1,3567,4809,4900,5699,4190,4808,1264,1536,2537,4733,5127,914
EIC29911.1,525,754,648,799,659,758,323,347,439,724,782,132
EIC29912.1,495,663,646,853,665,575,246,247,439,688,651,154
EIC29913.1,178,225,207,270,201,140,104,137,116,238,211,41
EIC29914.1,16,22,12,36,33,21,8,10,13,29,37,3
EIC29915.1,14,12,15,21,12,20,2,10,9,10,15,2
EIC29916.1,699,814,979,1210,974,872,390,452,785,1072,1325,271
EIC29917.1,289,318,354,409,339,349,136,154,244,335,370,63
EIC29918.1,777,873,929,1356,1119,724,315,401,646,1065,1023,225
EIC29919.1,2648,3726,3211,5089,4137,2186,2017,2880,4125,3233,3132,1290
EIC29920.1,542,697,660,2107,1773,642,222,247,514,843,905,236
EIC29921.1,532,1033,707,919,687,1204,195,258,364,683,670,115
EIC29922.1,130,235,167,223,170,303,64,60,70,172,171,49
EIC29923.1,85,155,114,130,113,160,56,78,122,102,124,28
EIC29924.1,270,375,384,559,460,442,114,128,195,360,349,78
EIC29925.1,88,109,124,188,139,111,63,64,87,106,104,38
EIC29926.1,74,91,98,170,122,90,63,62,63,95,108,19
EIC29927.1,831,1079,1098,1931,1423,981,812,1060,1555,1098,1195,553
EIC29928.1,539,734,656,692,566,483,365,508,480,653,580,170
EIC29929.1,105,101,98,128,120,70,74,110,80,116,127,26
EIC29930.1,174,199,216,269,202,106,140,194,178,220,250,67
EIC29931.1,90,97,124,158,127,80,56,53,66,133,134,24
EIC29932.1,680,807,870,1283,1100,608,227,287,368,996,1073,119
EIC29933.1,3768,5487,5043,6301,4876,6381,2437,2890,4076,5396,6154,1308
EIC29934.1,479,667,618,985,760,563,200,270,474,701,766,177
EIC29935.1,343,485,428,611,477,412,190,235,333,515,498,80
EIC29936.1,350,464,450,696,494,536,131,200,303,495,493,115
EIC29937.1,326,401,447,548,434,519,191,187,375,506,535,119
EIC29938.1,362,497,442,568,435,349,93,137,197,536,415,66
EIC29939.1,81,121,143,162,148,142,41,35,69,125,90,27
EIC29940.1,199,260,227,486,376,330,68,75,171,273,253,48
EIC29941.1,164,270,235,458,400,306,66,76,157,263,315,71
EIC29942.1,178,234,198,293,211,287,64,58,132,209,252,52
EIC29943.1,98,98,106,967,751,66,33,70,147,198,216,82
EIC29944.1,31,27,30,165,132,11,5,11,24,38,47,10
EIC29945.1,135,190,173,313,284,204,64,60,154,204,177,54
EIC29946.1,967,1303,864,1026,858,833,289,368,527,867,930,141
EIC29947.1,351,444,503,1085,929,363,255,373,568,939,1110,394
EIC29948.1,681,697,974,2049,2054,526,628,910,1607,1968,2848,902
EIC29949.1,183,247,200,546,575,84,329,459,793,617,850,466
EIC29950.1,64,103,72,220,165,73,46,48,81,95,98,40
EIC29951.1,689,691,1056,1090,880,358,566,825,1127,1742,1787,364
EIC29952.1,7768,7229,16892,11401,9347,5702,7930,11890,13834,19766,22782,3999
EIC29953.1,279,394,314,269,231,398,422,502,681,330,277,189
EIC29954.1,481,687,685,630,482,633,522,717,1052,730,638,259
EIC29955.1,14,18,24,13,4,20,7,12,14,9,9,4
EIC29956.1,52,84,73,86,61,101,26,14,47,68,38,19
EIC29957.1,85,153,124,147,134,198,45,56,116,116,116,29
EIC29958.1,464,857,616,644,539,877,357,404,491,541,560,140
EIC29959.1,65,92,57,66,64,103,38,52,52,85,64,12
EIC29960.1,551,886,660,731,582,884,139,203,348,604,636,113
EIC29961.1,54,61,33,53,44,55,32,53,42,58,50,16
EIC29962.1,20,29,16,34,31,35,14,16,26,20,19,8
EIC29963.1,55,61,64,122,87,25,31,47,44,65,36,5
EIC29964.1,53,81,62,95,72,39,22,32,36,69,55,14
EIC29965.1,50,58,65,147,138,66,21,35,41,54,57,11
EIC29966.1,69,82,83,135,102,68,32,42,46,52,66,15
EIC29967.1,20,38,24,86,57,17,9,6,11,26,14,11
EIC29968.1,20,21,13,118,87,20,8,8,17,27,21,4
EIC29969.1,30,35,36,168,127,24,10,10,20,34,39,6
EIC29970.1,23,40,40,110,92,28,23,21,50,40,36,12
EIC29971.1,88,92,98,477,347,79,46,51,70,102,78,27
EIC29972.1,22,25,22,158,98,22,15,9,13,21,20,10
EIC29973.1,267,247,279,1897,1351,263,128,175,303,306,374,109
EIC29974.1,20,11,26,102,79,13,5,4,7,23,26,8
EIC29975.1,155,130,177,973,828,84,53,86,145,218,252,61
EIC29976.1,58,90,72,314,215,74,26,39,61,88,134,35
EIC29977.1,7,10,2,32,27,6,1,4,8,7,11,5
EIC29978.1,522,601,673,965,781,653,154,176,366,719,468,101
EIC29979.1,139,150,122,195,185,179,41,62,101,216,155,35
EIC29980.1,20,30,33,22,19,17,20,17,24,35,20,4
EIC29981.1,27,35,45,49,43,27,7,7,31,45,42,17
EIC29982.1,60,79,84,107,91,89,24,39,62,116,85,31
EIC29983.1,19,37,21,23,22,27,23,25,35,38,21,11
EIC29984.1,11,14,12,13,14,13,7,11,12,13,4,5
EIC29985.1,55,96,91,102,71,56,57,78,121,87,68,36
EIC29986.1,118,128,135,150,159,127,59,60,98,155,102,25
EIC29987.1,246,299,321,423,364,202,105,145,152,352,284,78
EIC29988.1,544,597,694,831,753,406,232,244,411,690,550,164
EIC29989.1,585,580,732,1079,896,360,194,275,451,773,792,168
EIC29990.1,324,381,403,531,448,303,258,279,331,461,519,145
EIC29991.1,428,535,500,533,457,517,389,532,641,623,654,364
EIC29992.1,209,245,279,587,478,185,67,126,139,342,376,77
EIC29993.1,1033,1520,1251,1587,1259,1616,378,518,657,1398,1415,224
EIC29994.1,392,557,455,596,531,561,228,202,398,585,586,156
EIC29995.1,294,399,361,470,388,470,133,137,227,425,425,96
EIC29996.1,765,1085,874,1217,1030,1243,235,282,502,1173,1088,180
EIC29997.1,1313,2141,1772,2536,1833,2871,312,400,802,2262,2321,324
EIC29998.1,924,1420,1095,1617,1223,2246,188,244,516,1515,1524,250
EIC29999.1,2450,3869,2995,4431,3331,5508,550,723,1476,4033,4349,644
EIC30000.1,1224,1982,1508,2308,1650,2733,307,400,933,2175,2283,366
EIC30001.1,1735,2297,2355,3335,2276,3690,623,732,1376,2702,3455,801
EIC30002.1,500,730,616,897,663,735,143,213,383,705,813,144
EIC30003.1,187,236,233,301,231,228,74,74,129,259,274,48
EIC30004.1,94,185,175,242,163,192,43,47,96,185,209,35
EIC30005.1,773,1023,1034,4797,3682,2550,238,359,683,6655,6518,989
EIC30006.1,70,88,115,456,365,240,24,24,70,616,640,104
EIC30007.1,65,62,71,282,240,177,23,32,43,365,350,71
EIC30008.1,219,278,339,1272,1080,631,82,105,173,1725,1565,232
EIC30009.1,34,31,41,142,85,72,5,13,13,182,125,17
EIC30010.1,25,33,37,145,153,75,6,8,31,220,176,25
EIC30011.1,30,22,37,105,94,59,5,11,22,157,127,15
EIC30012.1,77,84,84,298,249,107,47,61,96,242,189,57
EIC30013.1,221,261,303,738,639,263,146,145,210,705,618,98
EIC30014.1,2797,2872,3991,2217,1741,1589,1668,1968,2814,1944,1784,432
EIC30015.1,7445,6833,10726,2070,1660,1422,2646,3798,7417,2484,2594,478
EIC30016.1,3513,3168,5270,819,687,654,1952,2217,3896,925,1043,256
EIC30017.1,24709,24428,36045,2211,1320,135,9234,11781,23067,2769,2915,708
EIC30018.1,7204,8806,11075,675,399,82,5776,5635,8288,792,891,249
EIC30019.1,10507,12648,18686,1970,1138,107,5754,7135,14864,2591,2417,870
EIC30020.1,58297,67399,77952,32506,20243,32266,26886,42241,43748,40977,42720,5680
EIC30021.1,3080,4613,3866,1214,1082,385,1181,1462,2089,1333,1454,233
EIC30022.1,2842,2825,4355,3028,2631,980,915,1178,2306,3389,3482,472
EIC30023.1,5983,5663,8857,7577,6961,3355,3218,4000,5032,10146,9913,1428
EIC30024.1,2453,2908,3693,3550,2805,1944,866,1250,2106,4527,4794,665
EIC30025.1,56,61,67,77,66,52,27,34,45,52,21,12
EIC30026.1,432,680,478,497,380,587,128,156,252,373,170,66
EIC30027.1,839,1414,1029,995,649,1168,119,186,197,769,372,70
EIC30028.1,46,92,61,74,39,83,27,29,22,46,25,6
EIC30029.1,2,12,9,5,3,8,2,2,4,7,2,1
EIC30030.1,841,1519,1004,904,634,1169,201,290,279,744,361,60
EIC30031.1,121,191,147,155,91,178,42,49,54,131,47,8
EIC30032.1,718,1160,860,808,585,1117,196,225,279,628,421,81
EIC30033.1,593,989,699,664,428,859,102,137,171,547,328,49
EIC30034.1,1688,2960,2054,2025,1417,2288,506,681,723,1605,1114,189
EIC30035.1,463,849,548,555,359,775,159,213,298,482,344,67
EIC30036.1,267,392,309,362,265,427,76,69,110,221,186,36
EIC30037.1,327,492,429,513,335,504,93,103,197,357,320,61
EIC30038.1,388,337,349,191,257,45,19,33,59,104,34,14
EIC30039.1,3267,3233,2923,1992,2352,440,182,231,494,897,387,125
EIC30040.1,970,937,896,570,722,142,60,84,154,287,144,25
EIC30041.1,1461,1372,1531,981,1121,257,134,130,283,430,194,66
EIC30042.1,24491,19621,24925,13699,16709,993,742,958,2183,4937,1179,239
EIC30043.1,27801,21290,31273,15330,19709,844,945,1383,2731,5975,1994,183
EIC30044.1,2718,1908,3262,1280,1789,65,143,186,371,648,300,17
EIC30045.1,4379,3235,6018,2257,2940,124,193,283,506,1064,711,19
EIC30046.1,2443,1693,3051,1045,1551,60,118,187,300,628,397,10
EIC30047.1,11169,7637,14676,5507,7643,318,353,625,1130,3099,1930,56
EIC30048.1,10000,6651,13525,5195,6939,222,423,775,1252,2532,1651,37
EIC30049.1,424,259,565,188,264,17,46,50,67,119,65,5
EIC30050.1,1404,1048,1655,564,909,27,32,54,85,231,116,2
EIC30051.1,8625,7580,10655,4132,5593,325,384,616,929,1469,783,47
EIC30052.1,6685,4990,9223,3101,4362,130,166,301,725,1286,660,28
EIC30053.1,17594,11675,22615,8077,11593,240,450,782,1448,3041,1920,31
EIC30054.1,51750,36733,71235,24340,33172,818,2528,4436,6751,8888,5909,186
EIC30055.1,216,82,474,343,470,7,20,33,38,34,19,1
EIC30056.1,122,53,249,200,249,3,4,5,10,10,12,3
EIC30057.1,2049,1070,3477,3248,4377,76,29,57,163,272,147,24
EIC30058.1,1293,855,2077,1622,2328,147,131,130,214,280,195,58
EIC30059.1,397,211,630,621,719,66,62,54,98,120,126,32
EIC30060.1,105,95,164,186,230,32,29,16,41,44,37,17
EIC30061.1,477,550,569,908,708,505,85,101,139,232,259,45
EIC30062.1,462,542,575,885,754,433,36,59,102,156,184,29
EIC30063.1,145,174,173,270,234,122,12,8,35,53,53,10
EIC30064.1,258,278,294,494,460,270,18,22,41,87,114,12
EIC30065.1,772,774,863,1464,1400,721,45,59,140,264,236,52
EIC30066.1,2336,2502,2651,4286,3942,1990,142,168,369,881,743,129
EIC30067.1,40,39,56,72,71,38,6,6,17,25,13,5
EIC30068.1,2262,2364,2608,2714,2967,1350,356,436,954,1610,1095,109
EIC30069.1,1192,1098,1453,639,772,189,270,466,682,1134,703,38
EIC30070.1,1914,1988,2747,896,1173,319,938,1117,1687,1572,1213,61
EIC30071.1,855,1154,1048,1419,1011,1329,1024,1203,1382,1360,1457,430
EIC30072.1,2966,2749,3823,2103,1913,1040,503,640,1107,2003,1639,218
EIC30073.1,16010,13123,21130,5388,7190,440,874,1692,3405,5084,3487,130
EIC30074.1,620,836,707,588,570,561,291,477,523,669,617,134
EIC30075.1,231,313,322,297,235,219,137,166,266,280,290,62
EIC30076.1,127,162,146,167,110,124,63,58,74,145,140,32
EIC30077.1,464,672,538,540,424,662,444,427,504,545,540,121
EIC30078.1,1171,1641,1465,1448,1137,1428,383,611,797,1349,1439,192
EIC30079.1,763,1040,908,770,657,700,853,976,1172,890,932,253
EIC30080.1,2603,3680,3164,3076,2283,2388,1850,2558,2660,2996,2603,557
EIC30081.1,912,1258,934,919,792,785,561,816,1012,905,726,212
EIC30082.1,121,119,132,190,169,116,49,62,112,165,129,40
EIC30083.1,40,50,66,139,131,25,34,61,56,74,84,12
EIC30084.1,114,122,135,171,129,136,60,49,96,122,153,23
EIC30085.1,21,22,28,34,20,27,13,24,35,25,30,7
EIC30086.1,0,0,0,0,0,0,0,0,0,0,0,0
EIC30087.1,21,28,23,33,19,27,17,17,12,34,37,4
EIC30088.1,148,192,185,196,165,177,125,160,241,244,257,51
EIC30089.1,282,440,293,534,380,2028,327,373,803,1112,1718,483
EIC30090.1,161,227,194,312,188,814,90,137,267,508,564,123
EIC30091.1,31,56,49,105,63,74,12,26,28,78,51,15
EIC30092.1,15,22,17,38,31,36,9,12,15,25,17,3
EIC30093.1,199,330,267,516,368,269,147,207,228,254,277,69
EIC30094.1,73,121,80,81,64,100,54,62,107,88,85,26
EIC30095.1,1263,1823,1350,1386,1073,1188,1029,1587,2238,1557,1621,621
EIC30096.1,548,831,622,563,464,636,396,498,739,589,654,205
EIC30097.1,925,1502,915,1007,787,1176,551,865,1278,1033,1104,385
EIC30098.1,464,700,569,558,416,552,520,582,950,619,650,265
EIC30099.1,11,5,5,27,19,3,13,14,46,10,15,14
EIC30100.1,26,36,41,51,47,28,40,41,111,37,43,17
EIC30101.1,19,15,19,39,33,7,26,30,84,12,24,10
EIC30102.1,318,416,442,457,328,232,209,429,1131,359,335,139
EIC30103.1,232,219,272,268,193,135,144,277,786,203,239,75
EIC30104.1,216,268,244,267,229,151,155,202,366,249,229,58
EIC30105.1,11,17,13,24,22,17,7,13,11,14,16,7
EIC30106.1,31,22,30,46,50,25,21,21,35,33,24,12
EIC30107.1,112,139,92,152,104,117,70,110,93,136,129,27
EIC30108.1,44,66,67,65,51,49,30,37,49,56,67,6
EIC30109.1,128,155,169,224,193,116,100,132,158,186,178,41
EIC30110.1,1280,1409,1542,1211,1230,1238,1089,1191,1225,1791,1638,430
EIC30111.1,1230,1937,1517,1330,1121,1756,642,732,826,1508,1329,233
EIC30112.1,2496,3748,2917,3793,2732,4208,717,963,2091,3040,3248,619
EIC30113.1,251,391,356,420,345,263,195,226,303,359,335,66
EIC30114.1,2657,3972,5307,3163,2409,2692,1625,2122,3048,3939,2860,859
EIC30115.1,2022,2231,3253,2843,2382,1626,869,1108,1625,3120,2621,526
EIC30116.1,163,210,283,246,218,158,86,111,145,252,238,28
EIC30117.1,1510,1801,2183,2273,1878,1405,678,772,1084,2407,2532,361
EIC30118.1,665,744,993,1186,960,709,429,487,701,1214,1420,281
EIC30119.1,2820,3640,4190,3910,3178,3528,1566,2074,3243,4418,5028,1110
EIC30120.1,2010,2585,2556,2685,1909,1842,1745,2240,2664,2875,3420,735
EIC30121.1,6811,8082,8749,9416,7513,5932,3192,4073,5840,10257,11190,1949
EIC30122.1,605,699,853,923,707,576,289,335,518,853,915,153
EIC30123.1,1076,1370,1421,1608,1258,1150,563,594,1050,1666,1661,358
EIC30124.1,1280,1400,1899,2041,1544,865,594,711,975,1891,1928,322
EIC30125.1,1842,1986,2588,2601,2102,1174,636,879,1406,2583,2623,543
EIC30126.1,3630,3598,4929,5005,4160,1693,953,1390,2353,5674,5140,747
EIC30127.1,3518,3366,4501,4313,3496,1957,1696,1815,2737,5214,5004,1052
EIC30128.1,2219,2226,2931,2540,2314,1028,454,746,1289,3574,3391,367
EIC30129.1,3524,3066,5015,4766,3681,1493,1064,1429,1999,5456,5478,652
EIC30130.1,2956,2420,4349,4250,3087,1182,492,716,1303,4823,4938,476
EIC30131.1,4182,3704,5515,4728,4173,1708,1163,1462,2421,7112,6949,691
EIC30132.1,13090,11820,20286,18599,14265,5795,3957,5630,8087,23405,24619,2512
EIC30133.1,15759,15360,22843,20347,16021,9015,11552,15396,17907,25621,26548,4517
EIC30134.1,1885,2440,2519,2459,2069,1951,1281,1648,1871,2732,3086,598
EIC30135.1,3135,3766,4217,4968,3695,3062,1192,1540,2395,4596,4712,858
EIC30136.1,239,344,283,322,297,234,141,138,196,394,337,57
EIC30137.1,2224,3046,2645,3569,2850,2836,1040,1218,1755,3131,3137,590
EIC30138.1,306,422,406,502,410,339,252,304,338,409,479,113
EIC30139.1,621,857,713,837,694,677,553,772,888,894,798,214
EIC30140.1,2498,5803,2847,2819,1917,4922,1189,1795,1910,2222,2267,426
EIC30141.1,2321,3001,3092,3810,3001,2456,1021,1260,1922,3719,3859,734
EIC30142.1,259,313,343,256,277,323,254,249,297,371,374,93
EIC30143.1,1334,1617,1695,2196,1673,1290,539,708,1190,2174,2197,368
EIC30144.1,7024,12645,10271,20445,11394,28964,17372,17862,23105,18626,24518,13519
EIC30145.1,6336,8263,8231,7454,6511,7315,4368,5138,6145,10339,10401,1857
EIC30146.1,5565,6728,7929,8541,6829,5541,2833,4279,6577,10805,13031,2003
EIC30147.1,293,510,365,465,310,598,147,179,267,325,388,83
EIC30148.1,335,258,363,623,567,179,123,174,259,510,500,76
EIC30149.1,774,1083,898,1056,770,1010,526,706,947,872,908,253
EIC30150.1,5007,6661,6333,6328,5138,4488,5988,7684,11006,6549,8466,3189
EIC30151.1,1953,1893,2675,3109,2575,1324,731,984,1589,3117,3275,618
EIC30152.1,8475,9031,10895,11726,9863,7116,5403,7118,10794,13765,14794,3948
EIC30153.1,5965,6696,8310,9159,6881,4764,2288,2833,4248,9595,10197,1611
EIC30154.1,4547,4552,6043,7661,5864,3374,1295,1790,3631,7708,8487,1291
EIC30155.1,11727,12143,15393,19356,15538,10691,5858,7084,12530,20758,23878,4709
EIC30156.1,1048,1335,1716,2390,1700,829,447,590,1103,1769,2189,475
EIC30157.1,1395,1888,1991,2366,1534,1907,403,584,1114,1812,2393,521
EIC30158.1,526,779,693,843,666,740,127,191,393,882,966,108
EIC30159.1,188,298,245,340,249,293,68,88,195,322,388,85
EIC30160.1,611,785,717,993,721,700,223,254,496,880,959,249
EIC30161.1,248,351,333,470,326,364,80,118,206,348,406,98
EIC30162.1,692,959,960,1158,834,997,264,338,580,942,1033,241
EIC30163.1,196,313,256,323,246,278,179,223,373,288,273,100
EIC30164.1,203,277,206,251,239,212,113,149,206,260,203,49
EIC30165.1,1087,1264,2237,1563,1247,907,2675,2917,3981,2394,2781,1270
EIC30166.1,1962,2937,2774,2680,1948,1915,1327,2052,2314,3004,2932,547
EIC30167.1,1415,1983,1652,1681,1257,1526,1280,1736,2368,1685,1759,619
EIC30168.1,3590,4852,4243,4079,3297,3593,2792,4328,4659,4710,4640,1102
EIC30169.1,1068,1529,1339,1248,1067,1512,1091,1377,1510,1330,1537,452
EIC30170.1,476,737,522,537,461,633,418,526,703,585,478,192
EIC30171.1,85,109,109,116,108,151,31,44,70,105,91,16
EIC30172.1,526,568,620,2946,2568,366,267,345,602,849,994,274
EIC30173.1,66,108,80,153,125,89,59,47,66,91,92,17
EIC30174.1,230,396,293,506,356,414,165,182,241,344,310,91
EIC30175.1,172,234,203,274,220,265,86,67,155,239,234,45
EIC30176.1,1139,1531,975,1365,924,1554,634,748,819,1107,1150,333
EIC30177.1,945,1054,1202,1417,1126,689,365,428,819,1382,1344,284
EIC30178.1,1225,1238,1610,1943,1535,693,429,533,1240,2053,2065,406
EIC30179.1,443,388,574,572,467,241,133,156,448,663,698,145
EIC30180.1,140,127,118,123,123,67,57,49,134,188,147,23
EIC30181.1,53,45,69,52,41,24,32,44,60,78,60,20
EIC30182.1,533,609,747,854,684,385,211,290,599,830,842,209
EIC30183.1,704,787,846,922,838,602,463,490,925,1088,1095,254
EIC30184.1,1852,2393,2659,2558,2041,2448,1457,1448,2043,2224,2949,656
EIC30185.1,1666,2754,1996,2557,2060,2267,767,895,1511,2345,2466,535
EIC30186.1,5986,7314,8580,9949,7630,5021,4734,4998,6978,9709,12704,2755
EIC30187.1,354,359,410,616,449,238,119,128,198,576,714,87
EIC30188.1,149651,264342,173698,259294,186348,191212,37374,61835,104469,175456,232849,26512
EIC30189.1,37776,67073,41181,62123,48083,40470,7803,13051,21876,46932,57233,5623
EIC30190.1,16827,28611,19529,30602,20783,18244,4444,6861,10558,19730,25509,2684
EIC30191.1,15123,27176,18190,25695,18589,18276,6242,9923,13590,19055,24535,2679
EIC30192.1,11375,17492,13198,20143,15287,10566,2205,3423,6190,15166,19076,1719
EIC30193.1,3322,4799,3838,6141,4606,3642,853,1034,1981,4615,5405,578
EIC30194.1,2410,3719,2734,4565,3360,3414,1549,1574,2694,3473,3804,849
EIC30195.1,1761,2645,2019,3327,2458,2121,637,774,1475,2493,2618,480
EIC30196.1,1072,1603,1280,1948,1535,1411,412,520,861,1433,1546,323
EIC30197.1,1584,2302,1843,2739,2198,1771,856,944,1404,2188,2364,388
EIC30198.1,398,526,443,594,463,403,128,154,328,564,555,91
EIC30199.1,2223,1977,3106,2710,2137,1669,844,902,1787,2865,2799,449
EIC30200.1,17611,12110,25201,14167,10340,9254,5112,7747,15219,17672,15525,2349
EIC30201.1,2769,3292,3747,3627,2622,3069,1538,1789,2676,3393,3835,971
EIC30202.1,3478,4147,4616,4989,3676,4192,1230,1473,2906,4918,4857,1098
EIC30203.1,1023,1829,1298,1500,1156,1808,711,807,1082,1385,1382,310
EIC30204.1,1688,1914,2500,2726,2188,1877,797,904,1488,2831,3087,610
