Accession,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12
EIC29232.1,29389,52573,40027,44918,32645,40720,35766,46550,53548,44020,50401,13477
EIC29233.1,1214,1771,1668,2085,1553,830,1087,1642,2107,2294,2678,481
EIC29234.1,515,828,726,822,619,800,364,453,598,652,634,78
EIC29235.1,1785,2511,2395,2946,2031,2762,583,676,1375,2038,2228,182
EIC29236.1,10877,15091,14572,17513,12444,15747,3085,4125,7615,12179,13688,1159
EIC29237.1,5130,6740,6843,8824,6250,6837,1580,2087,3952,5999,7001,577
EIC29238.1,2266,2879,2944,3791,2845,2746,953,1094,1902,2603,3303,304
EIC29239.1,203,284,259,318,255,291,47,75,124,348,283,66
EIC29240.1,83,116,142,171,138,136,28,49,83,207,141,28
EIC29241.1,403,540,556,610,476,561,197,193,301,719,520,86
EIC29242.1,446,532,816,615,511,411,177,240,379,1238,844,96
EIC29243.1,448,470,930,701,558,410,143,179,291,1129,956,108
EIC29244.1,431,453,856,742,587,374,174,205,384,1161,948,150
EIC29245.1,818,858,1552,1242,1029,682,233,319,642,2175,1836,240
EIC29246.1,1534,1802,2077,2061,1771,1370,464,665,1185,2308,2679,365
EIC29247.1,749,1022,776,894,790,866,213,275,553,1263,1075,153
EIC29248.1,839,1147,968,1366,991,839,280,356,644,1288,1278,197
EIC29249.1,8160,9486,11537,9239,7208,6198,9299,12941,14935,10445,10272,3842
EIC29250.1,469,672,622,670,474,519,245,329,438,631,609,132
EIC29251.1,3868,5550,4742,5931,4459,5073,1223,1587,2792,4919,5078,950
EIC29252.1,1442,2133,1934,2518,1796,2351,370,463,960,1818,1877,326
EIC29253.1,1400,2074,1752,2319,1772,2093,356,448,794,1803,1755,259
EIC29254.1,545,798,632,848,683,932,363,380,530,648,690,183
EIC29255.1,351,521,420,548,446,595,152,179,287,458,471,88
EIC29256.1,1252,1987,1674,2358,1644,2766,381,485,955,1475,1626,339
EIC29257.1,1591,2662,2182,3465,2336,3114,468,666,1188,1895,2263,419
EIC29258.1,336,470,409,803,697,527,176,211,377,451,471,125
EIC29259.1,43,61,40,84,79,76,17,23,35,60,56,9
EIC29260.1,334,400,462,540,491,385,154,208,316,444,593,120
EIC29261.1,622,660,763,864,682,609,529,672,862,981,1117,297
EIC29262.1,542,452,539,172,150,82,389,542,535,285,199,27
EIC29263.1,1190,782,1397,548,451,170,417,621,846,654,458,55
EIC29264.1,489,381,607,365,301,228,142,235,332,391,267,51
EIC29265.1,422,555,619,1727,1463,1227,274,308,459,1950,1951,401
EIC29266.1,173,218,234,621,550,397,89,66,139,688,610,123
EIC29267.1,614,749,825,2111,1751,1456,253,299,482,2378,2111,460
EIC29268.1,339,518,438,530,503,550,209,183,321,531,521,132
EIC29269.1,378,455,473,615,436,398,127,153,326,532,508,114
EIC29270.1,766,938,1092,1047,787,755,486,590,628,970,1175,216
EIC29271.1,1327,1837,1499,1599,1339,1511,721,1056,1607,1604,1636,364
EIC29272.1,621,730,808,887,744,667,369,429,687,930,903,179
EIC29273.1,1338,1477,1823,1785,1486,1109,643,701,1304,2054,2098,358
EIC29274.1,1438,1522,1927,1846,1402,987,660,840,1278,2020,2071,290
EIC29275.1,1238,1081,1952,1744,1182,498,635,790,1255,2035,2161,413
EIC29276.1,2923,2697,4049,3621,2867,1849,2257,2192,4169,4599,4921,1279
EIC29277.1,1963,2171,2697,4445,3464,1945,2635,3349,3901,3037,3981,995
EIC29278.1,861,1033,1075,1732,1711,679,388,475,696,1642,1666,213
EIC29279.1,464,576,544,865,743,481,209,239,401,721,663,139
EIC29280.1,643,964,876,1046,805,875,451,568,676,868,927,184
EIC29281.1,2909,5232,3607,3363,2346,5364,1385,1473,1970,2973,2714,644
EIC29282.1,1591,3066,2040,1883,1364,2603,288,418,632,1612,1246,211
EIC29283.1,583,826,774,1081,864,700,239,279,545,837,841,229
EIC29284.1,105,125,128,549,380,134,52,69,96,178,211,75
EIC29285.1,69,88,102,296,183,78,28,39,77,104,135,43
EIC29286.1,467,699,648,726,554,881,210,261,344,534,607,123
EIC29287.1,11,10,10,11,12,26,6,7,4,6,9,2
EIC29288.1,452,683,365,676,555,920,178,197,250,423,343,80
EIC29289.1,674,1102,581,1147,823,1154,146,172,332,537,563,119
EIC29290.1,58,129,63,104,88,138,27,37,39,60,55,12
EIC29291.1,148,257,185,209,218,242,127,172,229,207,199,51
